Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
13116,TRU PROSO-1,MANDIL MEDIANO D/CARNAZA TRUPER PROSO-1,4,C,2,B,2,A,2,B,0,Sin Mov
12934,TRU REP-CAZ-40/60,CUCHILLAS P/CORTADORA AZULEJO P/CAZ-40/6,0,Sin Mov,3,C,0,B,8,C,0,Sin Mov
15024,TRU GTS-CV,CULTIVADOR P/JARDIN 7 GTS-CV TRUPER,0,Sin Mov,4,C,1,A,6,Sin Mov,0,Sin Mov
10609,TRU AL-3,AZADON TRUPER LANE NO 3 S/MANGO AL-3,0,Sin Mov,4,C,0,B,5,C,0,Sin Mov
45260,TRU MR-100B,MANERAL FOSET BASIC MR-100B C/CHAPETON P,0,Sin Mov,4,Sin Mov,2,B,3,C,0,Sin Mov
12280,TRU DECA-25X,DESTAPACAÑOS TRUPER DECA-25X 7.6 MTS.,0,Sin Mov,0,C,0,A,1,C,0,Sin Mov
000833-4,BER 833-4,PINTURA VINIL BERELINTE 833 1 LTO.,4,B,4,C,0,B,16,C,20,B
47258,TRU LAT-8P,VOLTECK EXTENCION P/TALLER PLASTICA 7.5,0,Sin Mov,4,Sin Mov,1,B,2,B,0,Sin Mov
16167,TRU B40-PUL-4X6,LIJA D/BANDA TRUPER 4X6 B40-PUL-4X6 G-40,0,Sin Mov,4,Sin Mov,2,B,0,Sin Mov,0,Sin Mov
102170,TRU PCACL-P,PALA CARBONERA PCACL-P M/LARGO TRUPER,0,Sin Mov,4,Sin Mov,3,B,0,Sin Mov,0,Sin Mov
16-I,RUG 16-I,LLAVE IND. P/LAV. FIG.16-I ACUARIO 1 PZA,0,Sin Mov,4,C,0,A,0,C,0,Sin Mov
11982,TRU CA-38F,CAVADOR 38 HERCULES CA-38F TRUPER MANGO,2,B,4,C,2,A,0,Sin Mov,0,Sin Mov
17702,TRU PRE-8,PRENSA TRUPER D/RESORTE 8 PRE-8,5,B,4,C,0,A,5,B,0,Sin Mov
22970,TRU JGO-PIN4,JGO. DE HERRAMIENTA 4 PZAS. JGO-PIN4 PRE,0,Sin Mov,3,C,0,B,0,Sin Mov,0,Sin Mov
14515,TRU LF-500,LLAVE P/FILTRO C/ACEITE 3 1/4A2 1/2 LF-5,0,Sin Mov,4,C,2,B,0,Sin Mov,0,Sin Mov
19647,TRU TJA-1,RASTRILLO-PICO JARDINERO MANGO FIV/VID.,0,Sin Mov,4,C,2,A,0,Sin Mov,0,Sin Mov
16864,TRU MACE-11,MARTILLO CERCADOR MACE-11 TRUPER,0,Sin Mov,4,Sin Mov,3,B,0,Sin Mov,0,Sin Mov
14187,TRU CT-610,CEPILLO TRUPER D/ALAMB. COPA TRENZADO CT,0,C,4,Sin Mov,3,A,2,B,0,Sin Mov
C-44,HEL C-44,HELVEX C-44 MANERAL GDE. C/CHAPETON ANTA,0,Sin Mov,4,C,2,B,0,Sin Mov,0,Sin Mov
XG24435-M,VALE XG24435-M,CHAMARRA E. NORTE NEGRA T-M,0,Sin Mov,4,C,0,B,0,Sin Mov,0,Sin Mov
102364,TRU JBS-5,JUEGO DE 5 BROCAS SDS PLUS PUNTA DE CRUZ,0,Sin Mov,4,C,3,A,0,Sin Mov,0,Sin Mov
117888,CGM 117888,IMP. IMPERFLEX P/CHASIS 4 LTS.,0,Sin Mov,4,C,0,B,0,Sin Mov,0,Sin Mov
AD-4305,IAD AD-4305,GABINETE ADIR P/1 TUBO LED T-8 1200MM AD,0,Sin Mov,4,Sin Mov,0,B,0,Sin Mov,0,Sin Mov
17630,TRU HLB-130,HILO P/DESBROZADORA 3.3MM X 48 MTS.HLB-1,0,A,4,A,0,A,4,A,4,Sin Mov
29089,TRU LI-CA-125RP,LINTERNA D/CABEZA D/LED RECARGABLE LI-CA,0,Sin Mov,3,A,0,A,9,B,4,Sin Mov
17625,TRU ACES-20,ACEITE TRUPER P/MOTOR 2 TIEMPOS 16 OZ. A,5,A,7,A,0,A,21,A,4,C
43585,TRU CS-75DB,CERRADURA HERMEX CS-75DB SOBREPONER INST,3,A,2,A,0,A,3,A,4,C
